timestamp,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106470_H2,G106471,G109041,G109041_H2,G109042,G109042_H2,G111092,G111093,G112778,G112779,G114088,G114089,G114090,H2,outside_coal,outside_coal_H2,s1,s10,s11,s2,s3,s4,s5,s6,s7,s8,s9,w1,w10,w11,w2,w3,w4,w5,w6,w7,w8,w9
20250101,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,48.8538,125.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352.395,3.79842,1.76034,0,60.1917,0,39.1366,14.5028,11.2024,13.6475,0
20250102,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,48.8538,125.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.477,0,0,0,0,0,0,0,0,0,0
20250103,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,48.8538,125.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.557,0,0,0,0,0,0,0,0,0,0
20250104,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,48.8538,125.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53784,0,0,51.0642,0,0,0,0,10.2662,0
20250105,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,48.8538,125.322,0,0,0,0,0,0,0,0,0,1.22387,0.00161733,0.00158245,4.97777,0,0,0.00153463,0.672662,0,0.288555,58.7604,0,1.68531,0,0,0,0,0,0,0,0
20250106,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,48.8538,125.322,0,0,0,0,0,0,0,0,5.49369,2.44774,0,0,0,1.8382,5.65331,0.00306926,1.34532,2.78231,0.57711,296.792,3.58922,1.68852,0,50.4838,0,0,0,0,0,0.871371
20250107,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,48.8538,125.322,0,0,0,0,0,0,0,0,8.24053,3.67162,0.00485199,0.00474735,14.9333,2.7573,8.47997,0.00460388,2.01799,4.17346,0.865665,288.675,3.61491,1.69173,0,50.1936,0,36.1019,13.354,9.85357,15.4951,17.5327
20250108,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,48.8538,125.322,0,0,0,0,0,0,0,0,28.225,12.5595,0.0162831,0,50.0527,9.28444,27.9047,0,6.76146,13.6327,2.96119,333.885,4.60903,2.0924,0,58.6657,0,43.7511,17.2151,12.0875,18.9298,23.0432
20250109,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,48.8538,125.322,0,0,0,0,0,0,0,0,48.1866,21.4372,0.0277007,0,85.1308,15.804,47.3059,0,11.4994,23.0803,5.05431,378.291,5.59308,2.48836,0,66.998,0,51.2998,21.039,14.2939,22.3213,0
20250110,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,48.8538,125.322,0,0,0,0,0,0,0,0,68.1071,30.2983,0,0,120.133,22.3099,66.661,0,16.2274,0,7.1435,423.208,6.59618,2.89045,0,75.4152,0,58.997,24.9104,16.5307,23.2884,31.731
20250111,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,48.8538,125.322,0,0,0,0,0,0,0,0,82.043,36.4383,0,0,0,26.9148,80.3389,0,19.4948,39.0045,8.59115,437.868,6.83185,2.96001,0,78.9233,0,61.0395,25.9631,17.4122,24.3144,32.7799
