timestamp,C-Central_PV-1,C-Central_PV-2,C-Commercial_PV,C-Residential_PV,C-Wind-1,C-Wind-2,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106471,G109041,G109042,G111092,G111093,G112778,G112779,G114088,G114089,G114090,N-Central_PV-1,N-Central_PV-2,N-Commercial_PV,N-Residential_PV,N-Wind-1,N-Wind-2,S-Central_PV-1,S-Central_PV-2,S-Commercial_PV,S-Residential_PV,outside_coal
202001023,0,0,0,0,0,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,259.913,0.86478,0,0,0,0,0
20250100,0,0,0,0,0,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,138.27,0.86478,0,0,0,0,0
20250101,0,0,0,0,0,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,197.296,0.86478,0,0,0,0,0
20250102,0,0,0,0,0,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,168.086,0.86478,0,0,0,0,0
20250103,0,0,0,0,3.1808,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,55.81,0.86478,0,0,0,0,0
20250104,0,0,0,0,3.1808,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,23.8402,0.86478,0,0,0,0,0
20250105,0,0,0,0,3.1808,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,246.894,0,0,0,0,0,0
20250106,0,0,0,0,3.1808,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,84.9907,0,0,0,0,0,0
20250107,0,0,0,0,3.1808,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,189.662,0.86478,0,0,0,0,0
20250108,0,0,0,0,0,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,269.013,0,0,0,0,0,0
20250109,0,0,0,0,3.1808,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,223.375,0,0,0,0,0,0
20250110,0,0,0,0,3.1808,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,135.948,0,0,0,0,0,0
20250111,0,0,0,0,3.1808,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,121.555,0.86478,0,0,0,0,0
20250112,0,0,0,0,3.1808,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,135.649,0,0,0,0,0,0
20250113,0,0,0,0,3.1808,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,26.0895,0.86478,0,0,0,0,0
20250114,0,0,0,0,0,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,150.87,0,0,0,0,0,0
20250115,0,0,0,0,0,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,254.078,0,0,0,0,0,0
20250116,0,0,0,0,0,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,309.55,0,0,0,0,0,0
20250117,0,0,0,0,0,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,387.102,0,0,0,0,0,0
20250118,0,0,0,0,3.1808,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,477.61,0.86478,0,0,0,0,0
20250119,0,0,0,0,3.1808,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,523.491,0.86478,0,0,0,0,0
20250120,0,0,0,0,3.1808,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,521.441,0.86478,0,0,0,0,0
20250121,0,0,0,0,0,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,506.963,0,0,0,0,0,0
