period,timepoint_label,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106470_H2,G106471,G109041,G109041_H2,G109042,G109042_H2,G111092,G111093,G112778,G112779,G114088,G114089,G114090,H2,outside_coal,outside_coal_H2,s1,s10,s11,s2,s3,s4,s5,s6,s7,s8,s9,w1,w10,w11,w2,w3,w4,w5,w6,w7,w8,w9
2020,202001022,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.23065207329074,4.217928108854458,0.0,1.6412399213409652,0.0,4.006254077699282,40.811137525518426,15.255713539124349,11.253856979662864,0.0,21.944837973160777
2020,202001023,0.0,0.0,485.76,485.76,242.88,242.88,283.36,0.0,283.36,242.88,0.0,242.88,0.0,0.0,0.0,0.0,0.0,109.29599999999999,48.26202667383505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.6506921442415,4.083398101976476,0.0,1.565674824534304,0.0,3.83176285496724,0.0,14.986130482060462,10.879512409517526,13.832006384695402,0.0
2025,20250100,0.0,0.0,485.7600000000001,485.76,242.88,242.88,283.36,0.0,283.36,242.88000000000002,0.0,242.88,0.0,174.17579185789177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0529252538672,0.0,0.0,0.0,62.26712932331064,0.0,40.78142176193788,15.238793126001001,0.0,0.0,0.0
2025,20250101,0.0,0.0,485.7600000000001,485.76,242.88,242.88,283.36,0.0,283.36,242.88000000000002,0.0,242.88,0.0,174.17579185789177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.39541781448037,3.798421635280087,1.760337855766972,0.0,60.19173953438393,0.0,26.84588214145387,14.502799239877556,11.202382611113668,13.647451351349378,19.923584347936877
2025,20250102,0.0,0.0,485.7600000000001,485.76,242.88,242.88,283.36,0.0,283.36,242.88000000000002,0.0,242.88,0.0,174.17579185789177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.2722788615485,3.711561760738731,1.7342600287516277,0.0,57.14923248797843,0.0,37.84897841993508,14.166111695891884,10.589591533663045,13.56860013983081,19.503756859584275
2025,20250103,0.0,0.0,485.7600000000001,485.76,242.88,242.88,283.36,0.0,283.36,242.88000000000002,0.0,242.88,0.0,174.17579185789177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.9186334748015,3.6247018861973745,1.708182201736283,0.0,54.106725104770454,0.0,36.561372062113655,13.829424240252386,0.0,13.48974892831224,19.083929524693996
2025,20250104,0.0,0.0,485.7600000000001,485.76,242.88,242.88,283.36,0.0,283.36,242.88000000000002,0.0,242.88,0.0,174.17579185789177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0260009556848,3.5378420116560183,1.6821043911845146,0.0,51.06421805836497,0.0,4.035187848429814,13.492736784612887,0.0,0.0,0.0
2025,20250105,0.0,0.0,485.7600000000001,485.76,242.88,242.88,283.36,0.0,283.36,242.88000000000002,0.0,242.88,0.0,174.17579185789177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7468449142319193,1.2238717317013825,0.0016173315671101898,0.0015824501702978693,4.977767054564611,0.919099850177124,2.8266554469099887,0.001534628222264676,0.6726618323507142,1.3911536536037883,0.2885551236513465,304.908879908845,3.5635325676882026,1.6853113476263597,0.0,50.77402868959946,0.0,35.54980678508174,13.44648234874874,9.527196081359019,14.105636227205345,18.672603695522085
2025,20250106,0.0,0.0,485.7600000000001,485.76,242.88,242.88,283.36,0.0,283.36,242.88000000000002,0.0,242.88,0.0,174.17579185789177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4936896375693784,2.447743463402765,0.003234663244136742,0.0031649002318270975,9.955534109129221,1.838199637180542,5.653310893819977,0.003069256553582472,1.3453236186944901,2.7823073072075766,0.577110247302693,296.7917572319247,3.5892230837675467,1.688518304068205,0.0,50.483838984031465,0.0,35.8258482407768,13.400227912884587,9.69038278395624,14.800374737617016,18.68110520124045
2025,20250107,0.0,0.0,485.7600000000001,485.76,242.88,242.88,283.36,0.0,283.36,242.88000000000002,0.0,242.88,0.0,174.17579185789177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.240534551801296,3.6716151951041476,0.004851994811246932,0.004747350402124967,14.933301163693832,2.757299487357666,8.479966340729966,0.004603884775847148,2.017985451045204,4.173460960811365,0.8656653709540396,288.6746361850848,3.6149136397997306,1.691725244046474,0.0,50.19364927846346,0.0,36.10188932156631,13.353973477020434,9.853569575251141,15.495113248028687,18.689606860421137
