GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
G106470,26,Coal,2623.34688
G106470,27,Coal,2623.34688
G106470,28,Coal,2623.34688
G106470,29,Coal,2623.34688
G106470,30,Coal,2623.34688
G106470,31,Coal,2623.34688
G106470,32,Coal,2623.34688
G106470,33,Coal,2623.34688
G106470,34,Coal,2623.34688
G106470,35,Coal,2623.34688
G106470,36,Coal,2623.34688
G106470,37,Coal,2623.34688
G106470,38,Coal,2623.34688
G106470,39,Coal,2623.34688
G106470,40,Coal,2623.34688
G106470,41,Coal,2623.34688
G106470,42,Coal,2623.34688
G106470,43,Coal,2623.34688
G106470,44,Coal,2623.34688
G106470,45,Coal,2623.34688
G106470,46,Coal,2623.34688
G106470,47,Coal,2623.34688
G106470,48,Coal,2623.34688
G106470,49,Coal,2623.34688
G106470,50,Coal,2623.34688
G106470,51,Coal,2623.34688
G106470,52,Coal,2623.34688
G106470,53,Coal,2623.34688
G106470,54,Coal,2623.34688
G106470,55,Coal,2623.34688
G106470,56,Coal,2623.34688
G106470,57,Coal,2623.34688
G106470,58,Coal,2623.34688
G106470,59,Coal,2623.34688
G106470,60,Coal,2623.34688
G106470,61,Coal,2623.34688
G106470,62,Coal,2623.34688
G106470,63,Coal,2623.34688
G106470,64,Coal,2623.34688
G106470,65,Coal,2623.34688
G106470,66,Coal,2623.34688
G106470,67,Coal,2623.34688
G106470,68,Coal,2623.34688
G106470,69,Coal,2623.34688
G106470,70,Coal,2623.34688
G106470,71,Coal,2623.34688
G106470,72,Coal,2623.34688
G106470,73,Coal,2623.34688
G106470,74,Coal,2623.34688
G106470,75,Coal,2623.34688
G106470,76,Coal,2623.34688
G106470,77,Coal,2623.34688
G106470,78,Coal,2623.34688
G106470,79,Coal,2623.34688
G106470,80,Coal,2623.34688
G106470,81,Coal,2623.34688
G106470,82,Coal,2623.34688
G106470,83,Coal,2623.34688
G106470,84,Coal,2623.34688
G106470,85,Coal,2623.34688
G106470,86,Coal,2623.34688
G106470,87,Coal,2623.34688
G106470,88,Coal,2623.34688
G106470,89,Coal,2623.34688
G106470,90,Coal,2623.34688
G106470,91,Coal,2623.34688
G106470,92,Coal,2623.34688
G106470,93,Coal,2623.34688
G106470,94,Coal,2623.34688
G106470,95,Coal,2623.34688
G106470,96,Coal,2623.34688
G106471,1,Coal,2623.34688
G106471,2,Coal,2623.34688
G106471,3,Coal,2623.34688
G106471,4,Coal,2623.34688
G106471,5,Coal,2623.34688
G106471,6,Coal,2623.34688
G106471,7,Coal,2623.34688
G106471,8,Coal,2623.34688
G106471,9,Coal,2623.34688
G106471,10,Coal,2623.34688
G106471,11,Coal,2623.34688
G106471,12,Coal,2623.34688
G106471,13,Coal,2623.34688
G106471,14,Coal,2623.34688
G106471,15,Coal,2623.34688
G106471,16,Coal,2623.34688
G106471,17,Coal,2623.34688
G106471,18,Coal,2623.34688
G106471,19,Coal,2623.34688
G106471,20,Coal,2623.34688
G106471,21,Coal,2623.34688
G106471,22,Coal,2623.34688
G106471,23,Coal,2623.34688
G106471,24,Coal,2623.34688
G106471,25,Coal,2623.34688
G106471,26,Coal,2623.34688
G106471,27,Coal,2623.34688
G106471,28,Coal,2623.34688
G106471,29,Coal,2623.34688
G106471,30,Coal,2623.34688
G106471,31,Coal,2623.34688
G106471,32,Coal,2623.34688
G106471,33,Coal,2623.34688
G106471,34,Coal,2623.34688
G106471,35,Coal,2623.34688
G106471,36,Coal,2623.34688
G106471,37,Coal,2623.34688
G106471,38,Coal,2623.34688
G106471,39,Coal,2623.34688
G106471,40,Coal,2623.34688
G106471,41,Coal,2623.34688
G106471,42,Coal,2623.34688
G106471,43,Coal,2623.34688
G106471,44,Coal,2623.34688
G106471,45,Coal,2623.34688
G106471,46,Coal,2623.34688
G106471,47,Coal,2623.34688
G106471,48,Coal,2623.34688
G106471,49,Coal,2623.34688
G106471,50,Coal,2623.34688
