GEN_TPS_1,GEN_TPS_2,DispatchGen
G111093,60,0.0
G111093,61,0.0
G111093,62,0.0
G111093,63,0.0
G111093,64,0.0
G111093,65,0.0
G111093,66,0.0
G111093,67,0.0
G111093,68,0.0
G111093,69,0.0
G111093,70,0.0
G111093,71,0.0
G111093,72,0.0
G111093,73,283.36
G111093,74,283.36
G111093,75,283.36
G111093,76,283.36
G111093,77,283.36
G111093,78,283.36
G111093,79,283.36
G111093,80,283.36
G111093,81,283.36
G111093,82,283.36
G111093,83,283.36
G111093,84,283.36
G111093,85,283.36
G111093,86,283.36
G111093,87,283.36
G111093,88,283.36
G111093,89,283.36
G111093,90,283.36
G111093,91,283.36
G111093,92,283.36
G111093,93,283.36
G111093,94,283.36
G111093,95,283.36
G111093,96,283.36
G112778,1,0.0
G112778,2,0.0
G112778,3,0.0
G112778,4,0.0
G112778,5,0.0
G112778,6,0.0
G112778,7,0.0
G112778,8,0.0
G112778,9,0.0
G112778,10,0.0
G112778,11,0.0
G112778,12,0.0
G112778,13,0.0
G112778,14,0.0
G112778,15,0.0
G112778,16,0.0
G112778,17,0.0
G112778,18,0.0
G112778,19,0.0
G112778,20,0.0
G112778,21,0.0
G112778,22,0.0
G112778,23,0.0
G112778,24,0.0
G112778,25,0.0
G112778,26,0.0
G112778,27,0.0
G112778,28,0.0
G112778,29,0.0
G112778,30,0.0
G112778,31,0.0
G112778,32,0.0
G112778,33,0.0
G112778,34,0.0
G112778,35,0.0
G112778,36,0.0
G112778,37,0.0
G112778,38,0.0
G112778,39,0.0
G112778,40,0.0
G112778,41,0.0
G112778,42,0.0
G112778,43,0.0
G112778,44,0.0
G112778,45,0.0
G112778,46,0.0
G112778,47,0.0
G112778,48,0.0
G112778,49,0.0
G112778,50,0.0
G112778,51,0.0
G112778,52,0.0
G112778,53,0.0
G112778,54,0.0
G112778,55,0.0
G112778,56,0.0
G112778,57,0.0
G112778,58,0.0
G112778,59,0.0
G112778,60,0.0
G112778,61,0.0
G112778,62,0.0
G112778,63,0.0
G112778,64,0.0
G112778,65,0.0
G112778,66,0.0
G112778,67,0.0
G112778,68,0.0
G112778,69,0.0
G112778,70,0.0
G112778,71,0.0
G112778,72,0.0
G112779,1,0.0
G112779,2,0.0
G112779,3,0.0
G112779,4,0.0
G112779,5,0.0
G112779,6,0.0
G112779,7,0.0
G112779,8,0.0
G112779,9,0.0
G112779,10,0.0
G112779,11,0.0
G112779,12,0.0
G112779,13,0.0
G112779,14,0.0
G112779,15,0.0
G112779,16,0.0
G112779,17,0.0
G112779,18,0.0
